dt,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather_val_1,weather_val_2,weather_val_3,weather_val_4,weather_val_5,weather_val_6,weather_val_7,weather_val_8,weather_val_9,weather_val_10,weather_val_11,weather_val_12,weather_val_13,weather_val_14,weather_val_15,weather_val_16,weather_val_17,weather_val_18,weather_val_19,weather_val_20,weather_val_21,weather_val_22,weather_val_23,weather_val_24,weather_val_25,forecast10min,forecast20min,forecast30min,forecast40min,forecast50min,forecast60min
1715829000,1.791877139537967,2.051943643482183,0.537130409865606,-0.6148468913651289,0.9274095570913848,-1.267719826839091,0.5094721129375396,-0.1671135990234368,-0.5284545865640236,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715829600,2.1980624465310545,2.2853690348879536,0.537130409865606,-0.8762074998141413,0.9087866583288774,-0.3036134531418812,0.5094721129375396,0.1573359378644695,-0.3493626911520969,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715830200,2.1980624465310545,2.2853690348879536,0.537130409865606,-0.8762074998141413,0.9087866583288774,-0.3036134531418812,0.5094721129375396,0.1573359378644695,-0.3493626911520969,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715830800,2.1980624465310545,2.2853690348879536,0.537130409865606,-0.8762074998141413,0.9087866583288774,-0.3036134531418812,0.5094721129375396,0.1573359378644695,-0.3493626911520969,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715831400,2.6042477535241426,2.518794426293724,0.537130409865606,-1.1375681082631537,0.8678162810513653,-0.3036134531418812,0.5094721129375396,-0.1671135990234368,0.0983670473777196,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715832000,2.6042477535241426,2.518794426293724,0.537130409865606,-1.1375681082631537,0.8678162810513653,-0.3036134531418812,0.5094721129375396,-0.1671135990234368,0.0983670473777196,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715832600,2.6042477535241426,2.518794426293724,0.537130409865606,-1.1375681082631537,0.8678162810513653,-0.3036134531418812,0.5094721129375396,-0.1671135990234368,0.0983670473777196,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715833200,3.0104330605172307,2.752219817699495,0.1147584590394663,-1.5949491730489254,0.4655616677813029,-0.3036134531418812,0.5094721129375396,-0.4853237217404218,0.2774589427896463,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715833800,3.0104330605172307,2.752219817699495,0.1147584590394663,-1.5949491730489254,0.4655616677813029,-0.3036134531418812,0.5094721129375396,-0.4853237217404218,0.2774589427896463,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1715834400,3.0104330605172307,2.752219817699495,0.1147584590394663,-1.5949491730489254,0.4655616677813029,-0.3036134531418812,0.5094721129375396,-0.3730142666638387,-0.5642729656464088,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
